experiment,data,model,lr,version,dev_det_precision,dev_det_recall,dev_det_f1,dev_det_auc,det_threshold,test_det_precision,test_det_recall,test_det_f1,test_det_auc,dev_P_mean_s,dev_P_std_s,dev_P_mae_s,dev_S_mean_s,dev_S_std_s,dev_S_mae_s,test_P_mean_s,test_P_std_s,test_P_mae_s,test_S_mean_s,test_S_std_s,test_S_mae_s
ethz_picovar,ethz,picovar,0.001,0,0.9015252876639015,0.9275881057268722,0.9143710137060659,0.9629896666197675,0.062115252,0.8687352915540835,0.9505960896518837,0.9078240276892249,0.9587767524012436,-1.5886815095071796,3.3917821528974637,1.7122383585564611,-0.07437479978644054,1.2639378588662962,0.4524232069763298,-1.8410085671376895,3.6901469499954316,1.9568869888729608,-0.07143538485754913,1.1548318381670424,0.3701192612414076
geofon_picovar,geofon,picovar,0.001,0,0.6895686606414171,0.8240202275600506,0.7508228014744602,0.814007004549737,0.08188015,0.6874841528349359,0.8172596482685864,0.7467757056371523,0.8124228059468359,-1.7817441925638793,3.5265447477557155,2.312807032881054,-0.33754368542568497,2.4210961446785246,1.37343382972583,-1.8025762264561176,3.503871416369759,2.29975570226501,0.09163184107946055,2.085669760185302,1.1721534347826086
iquique_picovar,iquique,picovar,0.001,0,1.0,1.0,1.0,,0.00036925077,1.0,1.0,1.0,,-0.8294290007513149,2.087195642455997,0.889068369646882,-0.0444,1.4447922673007958,0.6549217391304347,-0.789645088727818,1.9943577310277545,0.8398675331167208,0.028555684454756383,1.1408135809369189,0.538868909512761
neic_picovar,neic,picovar,0.001,0,1.0,1.0,1.0,,0.0,1.0,0.999870920299152,0.9999354559839149,,-1.835228504186963,3.486668416575593,2.2969540802364405,-0.1521835847609307,2.2325899678881718,1.1844528253643571,-1.847535872798104,3.5032548244145745,2.310503473377597,-0.12698373484986653,2.199910486721295,1.1670401074395238
stead_picovar,stead,picovar,0.001,0,0.9777002544136921,0.9848755484797888,0.9812747847954348,0.9856860474872613,0.07078397,0.9771040854626822,0.9853353649659831,0.9812024625257318,0.9851443960116669,-1.0849301247962104,2.6287456322064933,1.1708156451751823,0.03139114755241798,0.7941133011434766,0.24463705916046669,-1.0950040700488999,2.6338965671729193,1.179866228361858,0.02200057234193199,0.8516430491029593,0.2588737761421158
